"student_id";"first_name";"last_name";"student_mobile_number";"email";"dob";"address";"parent_mobile_number";"country"
1;"Miguela";"Lawless";5804896370;"mlawless0@4shared.com";"2023-07-29";"6th Floor";8679196118;"Russia"
2;"Aluin";"Branchett";2208482773;"abranchett1@adobe.com";"2023-10-12";"Room 1808";7669878678;"Peru"
3;"Ernst";"Boughey";2814346392;"eboughey2@weather.com";"2023-08-05";"Suite 49";3257147646;"Bangladesh"
4;"Ashely";"Girard";1937440929;"agirard3@sun.com";"2023-06-09";"PO Box 7240";8305464311;"Indonesia"
5;"Trstram";"Tunkin";1506923565;"ttunkin4@mozilla.com";"2023-04-30";"11th Floor";5498779062;"China"
6;"Clarette";"Ketchaside";6016148041;"cketchaside5@ovh.net";"2023-07-15";"PO Box 15473";5833672865;"Haiti"
7;"Fulvia";"Rheubottom";2496187393;"frheubottom6@ow.ly";"2023-12-14";"Room 757";8814862198;"Russia"
8;"Hirsch";"Duffill";7672590268;"hduffill7@economist.com";"2023-11-14";"PO Box 35053";8598331024;"China"
9;"Hettie";"Smallpiece";7158921532;"hsmallpiece8@uiuc.edu";"2023-07-15";"Apt 992";6575026861;"Russia"
10;"Kissiah";"Rhyme";7954135699;"krhyme9@ftc.gov";"2023-05-22";"5th Floor";3237036176;"Colombia"
11;"Rossie";"Fashion";1827806556;"rfashiona@youtu.be";"2024-01-18";"PO Box 81943";8419130177;"Indonesia"
12;"Erina";"Roskam";5138379575;"eroskamb@cisco.com";"2023-08-29";"Apt 1142";6481283273;"Indonesia"
13;"Maddy";"Chateau";1904655476;"mchateauc@yolasite.com";"2024-02-23";"1st Floor";1167556261;"North Korea"
14;"Teirtza";"Ashforth";5246817393;"tashforthd@yahoo.com";"2024-02-21";"PO Box 45457";6464447058;"Fiji"
15;"Frank";"Challiss";5066868550;"fchallisse@mlb.com";"2024-01-24";"PO Box 30614";7966717053;"France"
16;"Gaylene";"Gilbertson";8582140161;"ggilbertsonf@topsy.com";"2023-09-05";"Suite 89";9601075602;"Russia"
17;"Sallie";"Halwill";4924382238;"shalwillg@t.co";"2023-07-10";"Room 951";3189218763;"China"
18;"Phillida";"Boal";6485262675;"pboalh@mashable.com";"2024-02-11";"PO Box 28660";3557646453;"China"
19;"Perla";"Fanthom";2195926715;"pfanthomi@gnu.org";"2023-03-21";"PO Box 4835";7339455986;"Croatia"
20;"Carmelle";"Waldren";2827087333;"cwaldrenj@netlog.com";"2023-06-02";"16th Floor";4807864945;"China"
21;"Gladys";"Larway";2988220102;"glarwayk@sourceforge.net";"2023-11-03";"16th Floor";1743418290;"Russia"
